Name	X-Coordinate	Y-Coordinate
Buf1_10034-2	1066000.474	1054185.322
Buf1_10034-3	1065850.622	1054855.112
Buf1_10050	1066404.44	1054064.352
Buf1_10072	1080696.484	1045084.732
Buf1_10076-1	1081215.66	1045576.295
Buf1_10076-3	1080782.402	1045715.039
Buf1_10076-4	1080981.262	1045903.615
Buf1_10124-2	1082252.867	1048402.046
Buf1_10132-2	1082465.211	1047319.191
Buf1_10138	1081378.784	1046744.42
Buf1_102	1061397.616	1078374.987
Buf1_10200	1068041.943	1066268.827
Buf1_10205	1068071.3	1066103.468
Buf1_10214	1068052.863	1065766.175
Buf1_10220	1069939.982	1065502.081
Buf1_10232	1069737.599	1064825.623
Buf1_10242-1	1066299.723	1065552.481
Buf1_10242-2	1066032.024	1065580.641
Buf1_10244-2	1064692.279	1066739.79
Buf1_10247-1	1065604.232	1066645.324
Buf1_10247-2	1066073.966	1067076.991
Buf1_10247-3	1065748.396	1066909.772
Buf1_1025	1076817.176	1071447.586
Buf1_10265	1065764.652	1067408.575
Buf1_10290	1064741.71	1066145.599
Buf1_10300	1069421.759	1065366.83
Buf1_10326-1	1065968.513	1066241.187
Buf1_10326-2	1065706.226	1066139.118
Buf1_10329	1066240.844	1066164.872
Buf1_10332	1067217.744	1065297.398
Buf1_10335	1068793.245	1049303.912
Buf1_10337	1068123.332	1066422.967
Buf1_10369	1072068.771	1066259.752
Buf1_10371	1071936.546	1065715.085
Buf1_10381	1072129.678	1065202.306
Buf1_10387	1079771.703	1053484.041
Buf1_10389	1079939.358	1053136.98
Buf1_10391	1079935.963	1053038.361
Buf1_10394	1079802.553	1052883.747
Buf1_10396	1079816.683	1052598.629
Buf1_10398	1079850.782	1052318.891
Buf1_10400	1079810.327	1051936.627
Buf1_10402	1079811.311	1051604.562
Buf1_10424	1079414.602	1050351.56
Buf1_10424-1	1079523.965	1050083.851
Buf1_10436	1079879.218	1049581.154
Buf1_10438	1079128.692	1049393.161
Buf1_10459	1085581.069	1072655.1
Buf1_10461	1079368.748	1048367.071
Buf1_10469	1078828.99	1048114.845
Buf1_10474	1078627.679	1047821.902
Buf1_10478	1078574.085	1047599.562
Buf1_10498-1	1076963.596	1047442.839
Buf1_1059	1063804.369	1070202.75
Buf1_1059-1	1063648.871	1069874.057
Buf1_1062	1069889.644	1071410.605
Buf1_1074	1070478.788	1070885.825
Buf1_10835	1074993.059	1051301.146
Buf1_10858-1	1075028.038	1052527.203
Buf1_10917	1073007.451	1051006.636
Buf1_1093	1079623.418	1075298.017
Buf1_1097	1079617.295	1075705.737
Buf1_10993	1074124.857	1051289.305
Buf1_110	1062229.614	1078585.505
Buf1_110-1	1062408.16	1078299.552
Buf1_11015	1073408.129	1052161.191
Buf1_11015-1	1073514.19	1051695.165
