               0            1      2     3     4
0    1079278.836  1045243.381  6.068  36.0  40.0
1    1079313.836  1045218.381  1.981  36.0  40.0
2    1079361.948  1045737.587  0.114   3.0  52.0
3    1079791.064  1046278.874  0.668  43.0  64.0
4    1079846.194  1045153.025  0.452  47.0   7.0
5    1079991.806  1045516.202  0.198  15.0  66.0
6    1080012.953  1044974.792  1.005  47.0  97.0
7    1080137.873  1046047.349  0.814  43.0  17.0
8    1080187.550  1044411.780  0.145  16.0  76.0
9    1080342.383  1043697.869  0.123  16.0  51.0
10   1080371.726  1045067.034  1.196   6.0  45.0
11   1080386.154  1045554.015  5.660  27.0  78.0
12   1080408.759  1045967.297  0.710  27.0  90.0
13   1080492.008  1044216.153  0.332  16.0   6.0
14   1080634.108  1045814.248  0.567  27.0  33.0
15   1080696.484  1044984.732  0.721   6.0  82.0
16   1080782.402  1045615.039  0.175  27.0  91.0
17   1080803.471  1044446.170  0.295  16.0  73.0
18   1080878.877  1046031.155  0.136  27.0  80.0
19   1080981.262  1045803.615  0.244  35.0   2.0
20   1080998.572  1045048.585  0.900  19.0  65.0
21   1081033.572  1045023.585  0.948  19.0  65.0
22   1081165.392  1044819.618  0.274  19.0  25.0
23   1081178.159  1045778.218  0.291  35.0   2.0
24   1081195.457  1046248.937  0.314  10.0  36.0
25   1081215.660  1045476.295  0.505  35.0  81.0
26   1081312.017  1044344.288  0.379  21.0  77.0
27   1081343.784  1046669.420  0.287  40.0  31.0
28   1081378.784  1046644.420  0.595  40.0  31.0
29   1081384.798  1046160.835  0.418  10.0  36.0
30   1081394.186  1044764.712  0.538  21.0  18.0
31   1081506.494  1045576.547  0.209  35.0  92.0
32   1081534.605  1045998.923  0.438  10.0  99.0
33   1081567.161  1044635.945  0.151  21.0  18.0
34   1081626.858  1046684.031  0.128  40.0  93.0
35   1081679.623  1045349.256  0.580   0.0  57.0
36   1081751.478  1044651.535  0.345  21.0  87.0
37   1081786.478  1044626.535  0.119  21.0  87.0
38   1081836.373  1045033.671  0.484   0.0   9.0
39   1081871.373  1045008.671  0.258   0.0   9.0
40   1081873.766  1047972.103  0.109  34.0  53.0
41   1081895.280  1046237.681  0.841  26.0  13.0
42   1081971.698  1048185.464  0.241   2.0  79.0
43   1081995.698  1047669.583  0.632  34.0  16.0
44   1082006.698  1048160.464  0.235   2.0  79.0
45   1082024.239  1045375.915  0.271   0.0  84.0
46   1082030.698  1047644.583  0.316  34.0  16.0
47   1082059.378  1045149.888  2.076   0.0  98.0
48   1082083.367  1050996.406  4.060  23.0  32.0
49   1082100.346  1046068.290  0.206  26.0  70.0
50   1082118.000  1050394.225  0.514  32.0   4.0
51   1082118.367  1050971.406  1.215  23.0  32.0
52   1082135.346  1046043.290  0.822  26.0  70.0
53   1082153.000  1050369.225  0.265  32.0   4.0
54   1082156.513  1044716.142  0.437  48.0  42.0
55   1082191.513  1044691.142  0.987  48.0  42.0
56   1082217.867  1048327.046  0.464   2.0   3.0
57   1082252.867  1048302.046  0.315   2.0   3.0
58   1082303.462  1045276.040  0.226   0.0  68.0
59   1082316.591  1050143.620  0.118  32.0  61.0
60   1082340.020  1043744.344  0.494  12.0  48.0
61   1082351.591  1050118.620  0.313  32.0  61.0
62   1082389.770  1045908.128  0.765  18.0  89.0
63   1082430.211  1047244.191  1.189   9.0  20.0
64   1082465.211  1047219.191  1.607   9.0  20.0
65   1082465.848  1045164.216  0.437  44.0  68.0
66   1082477.761  1051042.524  0.466  39.0  63.0
67   1082482.099  1049212.348  0.180  22.0  95.0
68   1082489.551  1047810.548  0.295  34.0  55.0
69   1082500.846  1048145.757  0.659   2.0  88.0
70   1082512.761  1051017.524  0.142  39.0  63.0
71   1082533.647  1044420.817  0.148  49.0  74.0
72   1082568.847  1051680.168  6.956  38.0  35.0
73   1082579.390  1045651.119  0.648  18.0  41.0
74   1082603.847  1051655.168  0.359  38.0  35.0
75   1082660.982  1049617.291  1.265  11.0  71.0
76   1082665.187  1049085.493  0.312  22.0  27.0
77   1082694.530  1049962.200  0.914  11.0  15.0
78   1082695.982  1049592.291  0.526  11.0  71.0
79   1082697.832  1045314.420  1.013  44.0  30.0
80   1082717.152  1050468.550  1.447  37.0  44.0
81   1082729.530  1049937.200  0.390  11.0  15.0
82   1082732.832  1045289.420  0.373  44.0  30.0
83   1082752.152  1050443.550  0.706  37.0  44.0
84   1082764.906  1051027.809  1.560  39.0  12.0
85   1082782.871  1044710.764  0.385  49.0   0.0
86   1082799.906  1051002.809  0.609  39.0  12.0
87   1082835.637  1043854.383  0.192  12.0  26.0
88   1082851.143  1048120.324  0.633  33.0  67.0
89   1082851.319  1047352.801  0.189   9.0  69.0
90   1082870.637  1043829.383  0.486  12.0  26.0
91   1082930.434  1045461.319  0.151  44.0  96.0
92   1082943.050  1045966.523  0.180  18.0  19.0
93   1083039.452  1051025.597  0.325   5.0  75.0
94   1083066.382  1044396.493  0.797  25.0  23.0
95   1083074.452  1051000.597  0.190   5.0  75.0
96   1083089.378  1044915.248  0.475   7.0  56.0
97   1083101.382  1044371.493  1.176  25.0  23.0
98   1083158.212  1051906.644  5.231  17.0  28.0
99   1083166.362  1048230.568  0.576  33.0  29.0
100  1083193.212  1051881.644  0.900  17.0  28.0
101  1083201.362  1048205.568  1.252  33.0  29.0
102  1083268.337  1045287.839  0.195   7.0  62.0
103  1083276.624  1050832.402  0.419   5.0  47.0
104  1083311.624  1050807.402  0.430   5.0  47.0
105  1083354.812  1050128.001  3.305  41.0  14.0
106  1083389.812  1050103.001  0.337  41.0  14.0
107  1083395.129  1045148.925  4.107   7.0  62.0
108  1083497.343  1044641.193  0.210  25.0  85.0
109  1083536.871  1044962.891  0.144   7.0  21.0
110  1083555.528  1051175.341  0.162  31.0  94.0
111  1083560.820  1050599.349  0.364   4.0  72.0
112  1083571.871  1044937.891  0.297   7.0  21.0
113  1083595.820  1050574.349  0.552   4.0  72.0
114  1083640.840  1051512.593  1.508   1.0  22.0
115  1083644.820  1050984.407  0.465  31.0  24.0
116  1083654.945  1051861.111  0.653  29.0  60.0
117  1083664.013  1052611.887  0.189  45.0  58.0
118  1083675.840  1051487.593  0.143   1.0  22.0
119  1083679.820  1050959.407  0.189  31.0  24.0
120  1083689.945  1051836.111  0.188  29.0  60.0
121  1083714.484  1051294.760  0.227  31.0  94.0
122  1083718.825  1052211.802  0.902  29.0   8.0
123  1083723.661  1051133.426  0.154  31.0  94.0
124  1083736.287  1048089.225  0.906  13.0  10.0
125  1083753.825  1052186.802  0.233  29.0   8.0
126  1083771.287  1048064.225  2.127  13.0  10.0
127  1083806.094  1050475.186  0.160   4.0  49.0
128  1083874.342  1051385.890  0.403   1.0  83.0
129  1083909.342  1051360.890  0.110   1.0  83.0
130  1083992.644  1051555.799  1.087   1.0  37.0
