               0            1       2     3     4
0    1083200.470  1046852.709   0.249   4.0  27.0
1    1083235.470  1046827.709   2.005   4.0  27.0
2    1083319.451  1043384.122   0.497   7.0  81.0
3    1083340.484  1043709.005   0.655   7.0  81.0
4    1083405.972  1044084.780   0.326   7.0  12.0
5    1083440.972  1044059.780   0.520   7.0  12.0
6    1083532.343  1044616.193   0.228   7.0  12.0
7    1083589.863  1044370.976   0.563   7.0  12.0
8    1083624.863  1044345.976   0.731   7.0  12.0
9    1083627.808  1045629.603   2.827   4.0  82.0
10   1083662.808  1045604.603   0.733   4.0  82.0
11   1083692.355  1047538.136   0.160  28.0  38.0
12   1083694.457  1046598.697   0.263   4.0  27.0
13   1083727.355  1047513.136   0.308  28.0  38.0
14   1083729.457  1046573.697   0.527   4.0  27.0
15   1083760.649  1044740.052   0.432  29.0  12.0
16   1083928.694  1043960.835   0.458   7.0  61.0
17   1083963.694  1043935.835   0.871   7.0  61.0
18   1083971.358  1044683.161   0.216  29.0  36.0
19   1084039.271  1044976.384   0.562  29.0  83.0
20   1084068.345  1044342.547   0.425  29.0  36.0
21   1084072.104  1044519.051   0.184  29.0  36.0
22   1084076.999  1046130.707   5.351   4.0   3.0
23   1084100.796  1047078.644   0.791  28.0  38.0
24   1084111.999  1046105.707   0.392   4.0   3.0
25   1084119.365  1046755.958   1.395  28.0  86.0
26   1084135.796  1047053.644   0.349  28.0  38.0
27   1084154.365  1046730.958   0.216  28.0  86.0
28   1084201.187  1043992.915   0.360  29.0  61.0
29   1084207.702  1045192.566   0.100  29.0  83.0
30   1084209.472  1044726.762   0.264  29.0  36.0
31   1084236.187  1043967.915   0.317  29.0  61.0
32   1084266.634  1047324.884   2.115  28.0  38.0
33   1084409.891  1046556.586   4.175  46.0  86.0
34   1084444.891  1046531.586   0.388  46.0  86.0
35   1084445.019  1044311.809   0.200  29.0  36.0
36   1084480.019  1044286.809   0.656  29.0  36.0
37   1084506.405  1044576.844   0.180  29.0  36.0
38   1084571.326  1046828.564   1.120  46.0  43.0
39   1084606.326  1046803.564   0.315  46.0  43.0
40   1084625.644  1046044.263   0.478  46.0  86.0
41   1084631.816  1047089.547   1.651  28.0  43.0
42   1084720.585  1047829.597   4.155  28.0  62.0
43   1084749.762  1046330.270   1.341  46.0  86.0
44   1084784.762  1046305.270   0.442  46.0  86.0
45   1084989.243  1046915.953   1.422  46.0  31.0
46   1085024.243  1046890.953   0.708  46.0  31.0
47   1085108.981  1046542.211   0.125  46.0  31.0
48   1085143.981  1046517.211   0.585  46.0  31.0
49   1085231.141  1047556.157   2.327  47.0  62.0
50   1085266.141  1047531.157   0.940  47.0  62.0
51   1085355.346  1046809.841   0.250  21.0  31.0
52   1085410.921  1059003.088   0.343  43.0   0.0
53   1085413.505  1056258.890   0.130  25.0  25.0
54   1085445.921  1058978.088   1.089  43.0   0.0
55   1085448.505  1056233.890   1.210  25.0  25.0
56   1085519.887  1048167.221   0.349  47.0  14.0
57   1085554.887  1048142.221   0.191  47.0  14.0
58   1085625.898  1047186.611   1.100  21.0  31.0
59   1085703.311  1057844.240   0.523  39.0  21.0
60   1085711.587  1059019.546   0.979  43.0   0.0
61   1085721.256  1056234.262   0.132  25.0  25.0
62   1085756.256  1056209.262   1.255  25.0  25.0
63   1085756.737  1055050.049   0.216   0.0  68.0
64   1085769.010  1051070.801   0.594   6.0  88.0
65   1085773.967  1046671.607   4.129  21.0  31.0
66   1085774.238  1045584.255   1.520  35.0  55.0
67   1085791.737  1055025.049   0.904   0.0  68.0
68   1085804.010  1051045.801   0.675   6.0  88.0
