NAME	X	Y	AREA
Parking_E-MH-2126	1071081.259	1058171.573	3.627
SAimp_E-MH-2126	1071116.259	1058146.573	1.38
Parking_E-MH-1695	1071218.165	1059070.194	1.089
SAimp_E-MH-1695	1071253.165	1059045.194	0.663
Parking_E-MH-13934	1071289.581	1059657.087	1.016
SAimp_E-MH-13934	1071324.581	1059632.087	0.424
Parking_E-MH-13934-1	1071443.298	1060468.282	0.206
SAimp_E-MH-13934-1	1071478.298	1060443.282	0.398
Parking_E-node-897	1071530.637	1058877.304	1.213
Parking_E-node-260	1071534.91	1060047.377	0.394
SAimp_E-node-897	1071565.637	1058852.304	0.63
SAimp_E-node-260	1071569.91	1060022.377	0.245
Parking_E-node-257	1071588.04	1058246.347	1.911
SAimp_E-node-257	1071623.04	1058221.347	0.881
SAimp_E-MH-1695-1	1071635.618	1059619.566	0.321
Parking_4980	1071691.914	1057797.228	1.528
SAimp_4980	1071726.914	1057772.228	0.988
Parking_E-node-1796	1071768.867	1060480.996	1.697
SAimp_E-node-1796	1071803.867	1060455.996	0.407
Parking_E-node-2137	1071847.273	1059201.499	0.185
Parking_E-MH-1695-2	1071854.032	1059575.628	0.96
SAimp_E-node-2137	1071882.273	1059176.499	0.191
SAimp_E-MH-1695-2	1071889.032	1059550.628	0.508
Parking_4980-1	1071912.161	1057821.993	0.62
SAimp_4980-1	1071947.161	1057796.993	0.728
Parking_E-MH-2139	1072000.64	1060937.17	1.974
Parking_5079	1072007.206	1058876.893	1.486
Parking_E-node-1795	1072034.652	1060460.421	0.525
SAimp_E-MH-2139	1072035.64	1060912.17	1.027
SAimp_5079	1072042.206	1058851.893	0.719
SAimp_E-MH-8752	1072051.532	1057187.171	0.744
Parking_E-MH-8804	1072066.842	1058044.818	0.437
SAimp_E-node-1795	1072069.652	1060435.421	0.423
Parking_E-MH-1794	1072123.67	1057665.474	0.474
Parking_5006	1072128.214	1060028.643	0.598
Parking_E-MH-8802	1072133.347	1057462.754	0.584
Parking_E-node-1817	1072150.582	1059614.575	1.726
SAimp_E-MH-1794	1072158.67	1057640.474	0.158
Parking_4974	1072162.062	1058265.753	1.019
SAimp_5006	1072163.214	1060003.643	0.381
SAimp_E-MH-8802	1072168.347	1057437.754	0.322
SAimp_E-node-1817	1072185.582	1059589.575	0.527
SAimp_4974	1072197.062	1058240.753	0.522
SAimp_5062	1072244.597	1058486.876	0.314
Parking_E-MH-8805-4	1072305.365	1057804.661	0.705
SAimp_E-MH-8805-4	1072340.365	1057779.661	0.15
Parking_5056	1072398.749	1058938.634	1.27
Parking_E-node-1819	1072409.848	1060536.808	2.278
SAimp_5056	1072433.749	1058913.634	0.633
SAimp_E-node-1819	1072444.848	1060511.808	0.844
SAimp_E-MH-8805-3	1072487.965	1058117.659	0.267
Parking_5449	1072538.035	1058379.101	0.526
SAimp_E-node-1818	1072539.897	1060031.897	0.689
SAimp_E-MH-8805-2	1072564.793	1057854.458	0.208
SAimp_5449	1072573.035	1058354.101	0.216
Parking_5056-2	1072590.99	1058637.606	0.475
SAimp_5056-2	1072625.99	1058612.606	0.316
SAimp_5056-1	1072712.178	1059207.193	0.778
SAimp_E-MH-8753	1072749.429	1057229.612	0.772
SAimp_E-MH-2121	1072766.927	1058293.873	0.117
Parking_E-MH-8802-1	1072846.088	1057485.212	1.418
SAimp_E-MH-8802-1	1072881.088	1057460.212	0.632
Parking_4945	1072892.049	1059715.84	1.875
SAimp_E-MH-2136	1072921.793	1060860.192	0.665
SAimp_4945	1072927.049	1059690.84	1.749
Parking_E-MH-2120-1	1072966.826	1057965.495	1.43
Parking_4939-1	1072980.816	1060272.905	0.795
SAimp_E-MH-2120-1	1073001.826	1057940.495	0.285
SAimp_4939-1	1073015.816	1060247.905	0.78
SAimp_E-MH-2120	1073023.896	1058304.102	0.123
SAimp_4937-1	1073073.945	1060572.418	0.285
SAimp_5046	1073160.25	1058880.049	0.452
SAimp_4957	1073171.065	1058523.838	0.606
Parking_E-MH-2108	1073177.509	1060458.759	0.218
SAimp_E-MH-2108	1073212.509	1060433.759	0.618
Parking_4935	1073235.123	1060898.472	0.185
SAimp_4935	1073270.123	1060873.472	0.462
SAimp_E-MH-2119	1073303.167	1058288.718	0.137
SAimp_4949	1073312.849	1059207.629	0.652
Parking_E-MH-8802-2	1073328.942	1057456.378	1.739
SAimp_E-MH-8802-2	1073363.942	1057431.378	0.488
Parking_E-MH-1715-2	1073467.913	1057875.957	0.405
SAimp_4953-1	1073481.852	1058708.28	0.191
SAimp_4941	1073486.617	1059728.504	0.145
SAimp_E-MH-1715-2	1073502.913	1057850.957	0.511
SAimp_4941-1	1073544.465	1060031.118	0.302
SAimp_4937-2	1073565.418	1060675.724	0.26
SAimp_E-MH-19561	1073613.376	1057300.239	0.16
SAimp_E-node-1812	1073658.336	1061084.333	0.141
SAimp_4945-2	1073727.807	1059509.65	0.16
SAimp_E-node-2164-4	1073833.338	1063280.994	0.22
Parking_3653	1073843.799	1061221.802	0.584
Parking_4949-2	1073857.69	1059198.293	0.146
SAimp_3653-1	1073869.002	1061385.11	0.134
SAimp_4957-1	1073870.488	1058453.99	0.613
SAimp_E-MH-19561-1	1073874.021	1057553.039	0.558
SAimp_3653	1073878.799	1061196.802	0.156
SAimp_4949-2	1073892.69	1059173.293	0.607
SAimp_E-MH-2110	1073900.896	1059826.072	0.63
SAimp_5094	1073922.251	1058941.866	0.215
SAimp_4945-1	1073929.134	1059524.388	0.139
Parking_E-MH-1715-1	1073940.155	1057965.695	0.787
SAimp_5104	1073953.909	1060134.339	0.265
SAimp_5094-2	1073963.044	1058756.605	0.259
SAimp_5104-1	1073965.551	1060287.487	0.219
SAimp_E-node-1754	1073967.041	1060945.268	0.298
SAimp_E-MH-1715-1	1073975.155	1057940.695	1.369
SAimp_E-node-2164-5	1074103.176	1063562.367	0.525
SAimp_5125-1	1074179.836	1061327.751	0.145
SAimp_4937	1074181.059	1060481.497	0.649
Parking_5125	1074220.371	1061148.208	0.154
Parking_E-MH-2177	1074222.814	1062953.209	1.992
SAimp_5125	1074255.371	1061123.208	0.249
SAimp_E-MH-2177	1074257.814	1062928.209	0.77
SAimp_E-node-2164-1	1074259.696	1063383.316	0.106
Parking_E-node-1753	1074271.423	1060778.496	0.225
SAimp_E-MH-2188-3	1074296.628	1059362.771	0.25
SAimp_5146	1074296.729	1061646.642	0.28
SAimp_5146-1	1074296.729	1061646.642	0.28
SAimp_E-node-1753	1074306.423	1060753.496	0.547
SAimp_4953-2	1074315.275	1058405.361	0.569
SAimp_5142-2	1074318.772	1062059.179	0.244
SAimp_E-MH-2188-1	1074321.574	1059664.956	0.268
Parking_E-node-2164-2	1074330.604	1063550.467	0.326
SAimp_5097	1074331.346	1060029.752	0.249
SAimp_E-MH-2186-1	1074341.423	1060353.599	0.155
SAimp_E-MH-1715-3	1074359.204	1057928.131	0.2
SAimp_E-node-2164-2	1074365.604	1063525.467	0.156
Parking_E-MH-2186	1074400.718	1060693.034	0.345
SAimp_5146-2	1074416.713	1061590.146	0.153
SAimp_5142-1	1074429.322	1062084.2	0.155
SAimp_E-MH-2186	1074435.718	1060668.034	0.212
SAimp_E-MH-2189	1074453.15	1059047.388	0.34
SAimp_E-node-2164-3	1074489.159	1063774.646	0.179
SAimp_4939	1074554.439	1060189.577	0.216
SAimp_4962	1074611.776	1063925.074	0.113
SAimp_4965	1074633.277	1063091.601	0.817
Parking_E-MH-1715	1074652.876	1058139.956	0.862
SAimp_E-MH-1715	1074687.876	1058114.956	0.237
SAimp_5169	1074697.557	1058557.577	0.273
SAimp_4953	1074721.619	1058899.318	0.225
SAimp_E-MH-2188	1074776.141	1059511.214	0.532
Parking_E-MH-2118	1074844.286	1063149.87	0.424
SAimp_4949-1	1074846.194	1059178.215	0.442
SAimp_E-MH-2118	1074879.286	1063124.87	0.822
