                0            1          2     3     4
0     1071081.259  1058171.573   3.627000  22.0  35.0
1     1071116.259  1058146.573   1.380000  22.0  35.0
2     1071218.165  1059070.194   1.089000  37.0  16.0
3     1071253.165  1059045.194   0.663000  37.0  16.0
4     1071289.581  1059657.087   1.016000  37.0  16.0
5     1071324.581  1059632.087   0.424000  37.0  16.0
6     1071443.298  1060468.282   0.206000  37.0  67.0
7     1071478.298  1060443.282   0.398000  37.0  67.0
8     1071530.637  1058877.304   1.213000  22.0  16.0
9     1071534.910  1060047.377   0.394000  37.0  67.0
10    1071565.637  1058852.304   0.630000  22.0  16.0
11    1071569.910  1060022.377   0.245000  37.0  67.0
12    1071588.040  1058246.347   1.911000  22.0  35.0
13    1071623.040  1058221.347   0.881000  22.0  35.0
14    1071635.618  1059619.566   0.321000  37.0  16.0
15    1071691.914  1057797.228   1.528000  22.0  35.0
16    1071726.914  1057772.228   0.988000  22.0  35.0
17    1071768.867  1060480.996   1.697000  37.0  67.0
18    1071803.867  1060455.996   0.407000  37.0  67.0
19    1071847.273  1059201.499   0.185000  37.0  16.0
20    1071854.032  1059575.628   0.960000  37.0  16.0
21    1071882.273  1059176.499   0.191000  37.0  16.0
22    1071889.032  1059550.628   0.508000  37.0  16.0
23    1071912.161  1057821.993   0.620000  22.0  35.0
24    1071947.161  1057796.993   0.728000  22.0  35.0
25    1072000.640  1060937.170   1.974000  37.0  67.0
26    1072007.206  1058876.893   1.486000  22.0  16.0
27    1072034.652  1060460.421   0.525000  37.0  67.0
28    1072035.640  1060912.170   1.027000  37.0  67.0
29    1072042.206  1058851.893   0.719000  22.0  16.0
30    1072051.532  1057187.171   0.744000  22.0  35.0
31    1072066.842  1058044.818   0.437000  22.0  35.0
32    1072069.652  1060435.421   0.423000  37.0  67.0
33    1072123.670  1057665.474   0.474000  22.0  35.0
34    1072128.214  1060028.643   0.598000  37.0  67.0
35    1072133.347  1057462.754   0.584000  22.0  35.0
36    1072150.582  1059614.575   1.726000  37.0  16.0
37    1072158.670  1057640.474   0.158000  22.0  35.0
38    1072162.062  1058265.753   1.019000  22.0  35.0
39    1072163.214  1060003.643   0.381000  37.0  67.0
40    1072168.347  1057437.754   0.322000  22.0  35.0
41    1072185.582  1059589.575   0.527000  37.0  16.0
42    1072197.062  1058240.753   0.522000  22.0  35.0
43    1072244.597  1058486.876   0.314000  22.0  35.0
44    1072305.365  1057804.661   0.705000  22.0  35.0
45    1072340.365  1057779.661   0.150000  22.0  35.0
46    1072398.749  1058938.634   1.270000  22.0  16.0
47    1072409.848  1060536.808   2.278000  37.0  67.0
48    1072433.749  1058913.634   0.633000  22.0  16.0
49    1072444.848  1060511.808   0.844000  37.0  67.0
50    1072487.965  1058117.659   0.267000  22.0  35.0
51    1072538.035  1058379.101   0.526000  22.0  35.0
52    1072539.897  1060031.897   0.689000  37.0  67.0
53    1072564.793  1057854.458   0.208000  22.0  35.0
54    1072573.035  1058354.101   0.216000  22.0  35.0
55    1072590.990  1058637.606   0.475000  22.0  35.0
56    1072625.990  1058612.606   0.316000  22.0  35.0
57    1072712.178  1059207.193   0.778000  37.0  16.0
58    1072749.429  1057229.612   0.772000  22.0  10.0
59    1072766.927  1058293.873   0.117000  22.0  35.0
60    1072846.088  1057485.212   1.418000  22.0  10.0
61    1072881.088  1057460.212   0.632000  22.0  10.0
62    1072892.049  1059715.840   1.875000  37.0  45.0
63    1072921.793  1060860.192   0.665000  32.0  45.0
64    1072927.049  1059690.840   1.749000  37.0  45.0
65    1072966.826  1057965.495   1.430000  22.0  10.0
66    1072980.816  1060272.905   0.795000  32.0  45.0
67    1073001.826  1057940.495   0.285000  22.0  10.0
68    1073015.816  1060247.905   0.780000  32.0  45.0
69    1073023.896  1058304.102   0.123000  22.0  10.0
70    1073073.945  1060572.418   0.285000  32.0  45.0
71    1073160.250  1058880.049   0.452000   6.0  32.0
72    1073171.065  1058523.838   0.606000   6.0  10.0
73    1073177.509  1060458.759   0.218000  32.0  45.0
74    1073212.509  1060433.759   0.618000  32.0  45.0
75    1073235.123  1060898.472   0.185000  32.0  45.0
76    1073270.123  1060873.472   0.462000  32.0  45.0
77    1073303.167  1058288.718   0.137000   6.0  10.0
78    1073312.849  1059207.629   0.652000   6.0  32.0
79    1073328.942  1057456.378   1.739000  22.0  10.0
80    1073363.942  1057431.378   0.488000  22.0  10.0
81    1073467.913  1057875.957   0.405000   6.0  10.0
82    1073481.852  1058708.280   0.191000   6.0  32.0
83    1073486.617  1059728.504   0.145000  32.0  45.0
84    1073502.913  1057850.957   0.511000   6.0  10.0
85    1073544.465  1060031.118   0.302000  32.0  45.0
86    1073565.418  1060675.724   0.260000  32.0  45.0
87    1073613.376  1057300.239   0.160000   6.0  10.0
88    1073658.336  1061084.333   0.141000  32.0  17.0
89    1073727.807  1059509.650   0.160000   6.0  32.0
90    1073833.338  1063280.994   0.220000  46.0  65.0
91    1073843.799  1061221.802   0.584000  32.0  17.0
92    1073857.690  1059198.293   0.146000   6.0  32.0
93    1073869.002  1061385.110   0.134000  32.0  17.0
94    1073870.488  1058453.990   0.613000   6.0  32.0
95    1073874.021  1057553.039   0.558000   6.0  10.0
96    1073878.799  1061196.802   0.156000  32.0  17.0
97    1073892.690  1059173.293   0.607000   6.0  32.0
98    1073900.896  1059826.072   0.630000  32.0  77.0
99    1073922.251  1058941.866   0.215000   6.0  32.0
100   1073929.134  1059524.388   0.139000   6.0  32.0
101   1073940.155  1057965.695   0.787000   6.0  10.0
102   1073953.909  1060134.339   0.265000  32.0  77.0
103   1073963.044  1058756.605   0.259000   6.0  32.0
104   1073965.551  1060287.487   0.219000  32.0  77.0
105   1073967.041  1060945.268   0.298000  32.0  17.0
106   1073975.155  1057940.695   1.369000   6.0  10.0
107   1074103.176  1063562.367   0.525000  46.0  65.0
108   1074179.836  1061327.751   0.145000  32.0  17.0
109   1074181.059  1060481.497   0.649000  32.0  77.0
110   1074220.371  1061148.208   0.154000  32.0  17.0
111   1074222.814  1062953.209   1.992000  46.0  65.0
112   1074255.371  1061123.208   0.249000  32.0  17.0
113   1074257.814  1062928.209   0.770000  46.0  65.0
114   1074259.696  1063383.316   0.106000  46.0  65.0
115   1074271.423  1060778.496   0.225000  32.0  77.0
116   1074296.628  1059362.771   0.250000   6.0  32.0
117   1074296.729  1061646.642   0.280000  32.0  17.0
118   1074296.729  1061646.642   0.280000  32.0  17.0
119   1074306.423  1060753.496   0.547000  32.0  77.0
120   1074315.275  1058405.361   0.569000   6.0  32.0
121   1074318.772  1062059.179   0.244000  46.0  17.0
122   1074321.574  1059664.956   0.268000   6.0  77.0
123   1074330.604  1063550.467   0.326000  46.0  65.0
124   1074331.346  1060029.752   0.249000  32.0  77.0
125   1074341.423  1060353.599   0.155000  32.0  77.0
126   1074359.204  1057928.131   0.200000   6.0  10.0
127   1074365.604  1063525.467   0.156000  46.0  65.0
128   1074400.718  1060693.034   0.345000  32.0  77.0
129   1074416.713  1061590.146   0.153000  32.0  17.0
130   1074429.322  1062084.200   0.155000  46.0  17.0
131   1074435.718  1060668.034   0.212000  32.0  77.0
132   1074453.150  1059047.388   0.340000   6.0  32.0
133   1074489.159  1063774.646   0.179000  46.0  65.0
134   1074554.439  1060189.577   0.216000  32.0  77.0
135   1074611.776  1063925.074   0.113000  46.0  65.0
136   1074633.277  1063091.601   0.817000  46.0  65.0
137   1074652.876  1058139.956   0.862000   6.0  68.0
138   1074687.876  1058114.956   0.237000   6.0  68.0
139   1074697.557  1058557.577   0.273000   6.0  68.0
140   1074721.619  1058899.318   0.225000   6.0  68.0
141   1074776.141  1059511.214   0.532000   1.0  77.0
142   1074844.286  1063149.870   0.424000  46.0  65.0
143   1074846.194  1059178.215   0.442000   1.0  68.0
144   1074879.286  1063124.870   0.822000  46.0  65.0
145   1075028.982  1063015.595   0.250000  46.0  65.0
146   1075063.982  1062990.595   0.412000  46.0  65.0
147   1075070.116  1059841.489   1.029000   1.0   1.0
148   1075178.380  1063057.343   0.266000  46.0  81.0
149   1075254.259  1060485.461   0.255000  31.0   1.0
150   1075255.737  1060165.695   0.829000   1.0   1.0
151   1075289.259  1060460.461   0.812000  31.0   1.0
152   1075295.226  1061367.447   0.102000  31.0  38.0
153   1075296.611  1063295.583   0.227000  46.0  81.0
154   1075328.145  1062741.200   0.513000  46.0  81.0
155   1075330.226  1061342.447   0.172000  31.0  38.0
156   1075369.097  1067760.751   1.422000   3.0  55.0
157   1075380.754  1058859.864   0.159000   1.0  68.0
158   1075389.140  1060907.328   0.113000  31.0   1.0
159   1075415.754  1058834.864   0.524000   1.0  68.0
160   1075424.140  1060882.328   0.277000  31.0   1.0
161   1075469.742  1060727.110   0.759000  31.0   1.0
162   1075479.643  1063835.704   0.482000  23.0  39.0
163   1075496.749  1059468.535   0.610000   1.0   1.0
164   1075504.742  1060702.110   0.750000  31.0   1.0
165   1075533.772  1065961.818   0.120000  28.0  27.0
166   1075551.784  1059103.828   0.772000   1.0  68.0
167   1075552.739  1058330.294   0.525000   1.0  68.0
168   1075567.381  1061111.775   0.465000  31.0  38.0
169   1075568.772  1065936.818   1.351000  28.0  27.0
170   1075580.206  1062899.730   0.118000  23.0  81.0
171   1075587.739  1058305.294   0.768000   1.0  68.0
172   1075602.381  1061086.775   1.044000  31.0  38.0
173   1075611.228  1063335.888   0.400000  23.0  81.0
174   1075615.916  1065238.473   0.435000  28.0  27.0
175   1075616.296  1067068.890   7.515000   3.0  55.0
176   1075650.916  1065213.473   0.931000  28.0  27.0
177   1075651.296  1067043.890   0.457000   3.0  55.0
178   1075658.786  1064053.007   0.288000  23.0  39.0
179   1075705.334  1064268.171   0.592000  23.0  39.0
180   1075705.589  1059962.824   0.301000   1.0   1.0
181   1075740.334  1064243.171   0.167000  23.0  39.0
182   1075741.098  1066163.813   0.231000  28.0  27.0
183   1075741.711  1064633.497   0.308000  23.0  39.0
184   1075765.693  1059658.781   0.144000   1.0   1.0
185   1075767.176  1063223.973   0.220000  23.0  81.0
186   1075771.099  1062717.363   0.306000  23.0  81.0
187   1075776.711  1064608.497   0.331000  23.0  39.0
188   1075802.100  1063673.289   0.150000  23.0  39.0
189   1075809.623  1061609.533   0.400000  31.0  38.0
190   1075843.972  1059644.729   0.110000   1.0   1.0
191   1075844.623  1061584.533   0.598000  31.0  38.0
192   1075853.102  1061858.135   0.202000  31.0  38.0
193   1075872.229  1062119.172   0.997000  31.0  38.0
194   1075878.972  1059619.729   0.108000   1.0   1.0
195   1075886.911  1064303.740   0.379000  23.0  39.0
196   1075906.263  1062599.015   0.245000  23.0  81.0
197   1075907.229  1062094.172   0.636000  31.0  38.0
198   1075921.911  1064278.740   0.103000  23.0  39.0
199   1075922.026  1066280.244   1.879000  28.0  27.0
200   1075922.631  1068062.374   0.435000   3.0  55.0
201   1075936.099  1063178.897   0.124000  23.0  81.0
202   1075941.263  1062574.015   0.167000  23.0  81.0
203   1075942.728  1063990.867   0.131000  23.0  39.0
204   1075957.026  1066255.244   0.736000  28.0  27.0
205   1075960.930  1063804.975   0.115000  23.0  39.0
206   1075961.550  1060050.312   0.402000   1.0   1.0
207   1075970.787  1061287.016   0.136000  31.0  38.0
208   1075979.827  1063510.683   0.100000  23.0  81.0
209   1076013.712  1062917.184   0.126000  23.0  81.0
210   1076025.642  1059516.601   0.254000   1.0   1.0
211   1076032.917  1064913.933   0.301000  28.0  39.0
212   1076038.151  1064737.862   0.273000  23.0  39.0
213   1076048.712  1062892.184   0.297000  23.0  81.0
214   1076055.607  1061653.055   0.159000  31.0  38.0
215   1076055.860  1060763.906   0.973000  31.0   1.0
216   1076060.642  1059491.601   0.286000   1.0   1.0
217   1076063.463  1060445.389   1.004000  31.0   1.0
218   1076067.901  1061391.672   0.103000  31.0  38.0
219   1076072.583  1063356.019   0.165000  23.0  81.0
220   1076090.860  1060738.906   0.494000  31.0   1.0
221   1076093.344  1067415.960   2.489000   3.0  55.0
222   1076098.463  1060420.389   0.442000  31.0   1.0
223   1076098.819  1059850.076   0.200000   1.0   1.0
224   1076100.520  1063096.414   0.213000  23.0  81.0
225   1076109.258  1062505.999   0.441000  23.0  81.0
226   1076109.448  1060932.746   0.117000  31.0  38.0
227   1076113.326  1061101.176   0.196000  31.0  38.0
228   1076124.808  1064600.949   0.156000  23.0  39.0
229   1076133.819  1059825.076   0.426000   1.0   1.0
230   1076135.520  1063071.414   0.140000  23.0  81.0
231   1076136.116  1064433.323   0.268000  23.0  39.0
232   1076140.842  1064159.717   0.335000  23.0  39.0
233   1076153.821  1061994.102   0.135000  31.0  38.0
234   1076170.571  1063802.883   0.210000  23.0  39.0
235   1076173.105  1061449.291   0.111000  31.0  38.0
236   1076175.842  1064134.717   0.330000  23.0  39.0
237   1076177.993  1065162.099   0.101000  28.0  27.0
238   1076184.963  1065434.572   0.501000  28.0  27.0
239   1076212.948  1067111.733   0.358000   3.0  55.0
240   1076212.993  1065137.099   0.581000  28.0  27.0
241   1076244.937  1059219.493   0.584000   1.0  98.0
242   1076247.948  1067086.733   0.363000   3.0  55.0
243   1076261.795  1061289.411   0.139000  31.0  38.0
244   1076268.674  1067665.524   0.136000   3.0  55.0
245   1076270.677  1062264.330   0.238000  31.0  38.0
246   1076299.492  1061936.745   0.383000  31.0  38.0
247   1076302.955  1065644.669   0.276000  28.0  27.0
248   1076303.674  1067640.524   1.977000   3.0  55.0
249   1076305.677  1062239.330   0.411000  31.0  38.0
250   1076324.234  1065856.709   0.177000  28.0  27.0
251   1076331.275  1066378.240   0.262000  28.0  55.0
252   1076338.931  1058616.936   2.146000   1.0  98.0
253   1076345.292  1061606.304   0.142000  31.0  38.0
254   1076359.234  1065831.709   0.351000  28.0  27.0
255   1076373.931  1058591.936   1.347000   1.0  98.0
256   1076392.990  1060246.365   0.165000  45.0   1.0
257   1076438.415  1061142.126   0.463000  31.0  38.0
258   1076439.813  1060089.593   0.167000  45.0   1.0
259   1076490.082  1062205.009   0.162000   7.0  38.0
260   1076529.687  1064589.452   0.118000  23.0  39.0
261   1076540.709  1059774.424   0.256000  45.0  30.0
262   1076543.283  1066800.166   0.132000   3.0  55.0
263   1076557.338  1063534.006   0.505000  23.0  39.0
264   1076565.172  1066142.053   0.862000  28.0  27.0
265   1076578.283  1066775.166   0.480000   3.0  55.0
266   1076581.352  1063798.334   0.355000  23.0  39.0
267   1076590.457  1059240.640   0.639000   1.0  98.0
268   1076609.239  1064816.576   0.710000  28.0  39.0
269   1076614.355  1064448.076   0.143000  23.0  39.0
270   1076627.609  1061732.982   0.465000  31.0  38.0
271   1076627.810  1064251.762   0.457000  23.0  39.0
272   1076638.657  1066569.984   0.289000   3.0  55.0
273   1076644.485  1063053.409   0.464000  23.0   7.0
274   1076646.745  1061020.947   0.251000  31.0  92.0
275   1076665.001  1066448.191   0.206000   3.0  55.0
276   1076695.644  1061443.589   0.212000  31.0  92.0
277   1076698.719  1063304.227   0.225000  23.0   7.0
