NAME	X	Y
Parking_10034-2	1065965.47400000000	1054110.32200000000
Parking_10034-3	1065815.62200000000	1054780.11200000000
Parking_10124-1	1081971.69800000000	1048185.46400000000
Parking_10124-2	1082217.86700000000	1048327.04600000000
Parking_10130	1081995.69800000000	1047669.58300000000
Parking_10132-1	1082851.31900000000	1047352.80100000000
Parking_10132-2	1082430.21100000000	1047244.19100000000
Parking_10138	1081343.78400000000	1046669.42000000000
Parking_10160	1084003.45800000000	1051041.96500000000
Parking_10163	1083276.62400000000	1050832.40200000000
Parking_10242-1	1066264.72300000000	1065477.48100000000
Parking_10244-2	1064657.27900000000	1066664.79000000000
Parking_10247-2	1066038.96600000000	1067001.99100000000
Parking_10247-3	1065713.39600000000	1066834.77200000000
Parking_10261	1064459.46200000000	1066910.01000000000
Parking_10335	1068758.24500000000	1049228.91200000000
Parking_10381	1072094.67800000000	1065127.30600000000
Parking_10387	1079736.70300000000	1053409.04100000000
Parking_10408	1079781.27600000000	1051186.21500000000
Parking_10408-1	1079881.06800000000	1051248.70500000000
Parking_10410	1079850.33500000000	1050985.60500000000
Parking_1042	1071711.64600000000	1074126.43500000000
Parking_10461	1079333.74800000000	1048292.07100000000
Parking_10469	1078793.99000000000	1048039.84500000000
Parking_10498-1	1076928.59600000000	1047367.83900000000
Parking_10498-2	1077444.71600000000	1047246.49200000000
Parking_10531	1070051.12200000000	1052593.23900000000
Parking_10532	1070096.14300000000	1053015.20800000000
Parking_1059	1063613.87200000000	1069799.05700000000
Parking_10614-1	1071276.58500000000	1053186.71600000000
Parking_10614-2	1071087.32100000000	1052984.90300000000
Parking_10624-2	1071416.13800000000	1053128.24100000000
Parking_10625-1	1071490.92100000000	1054532.08800000000
Parking_10625-2	1071449.21800000000	1054198.25600000000
Parking_10806	1074429.30100000000	1050093.75900000000
Parking_10809	1074522.15700000000	1050906.94000000000
Parking_10819	1074218.29100000000	1050426.93500000000
Parking_10819-1	1074132.25600000000	1050773.73700000000
Parking_10823	1074706.93800000000	1050311.94100000000
Parking_10838	1075373.21900000000	1051566.13000000000
Parking_10858	1075156.92100000000	1051998.24200000000
Parking_10858-2	1075296.01400000000	1052313.31700000000
Parking_10993	1074089.85700000000	1051214.30500000000
Parking_11010	1074422.11200000000	1051179.46300000000
Parking_11015-1	1073479.19000000000	1051620.16500000000
Parking_11052-4	1074094.68300000000	1053859.78300000000
Parking_11060	1074676.79000000000	1052313.38500000000
Parking_11096	1071951.12200000000	1051458.21400000000
Parking_11157	1070668.55500000000	1050822.99700000000
Parking_11232	1073930.37700000000	1050309.67000000000
Parking_11233	1073638.01800000000	1050745.16700000000
Parking_11237	1073419.37100000000	1050946.51400000000
Parking_11325-1	1071819.43600000000	1052246.39700000000
Parking_11325-2	1072111.31000000000	1053724.72200000000
Parking_11325-3	1072008.34700000000	1053012.51100000000
Parking_11497-2	1070975.97900000000	1049722.58800000000
Parking_11519	1072521.84200000000	1052215.83100000000
Parking_11526	1072867.80800000000	1054084.51600000000
Parking_11531	1073235.99800000000	1054301.52100000000
Parking_11668	1076107.20800000000	1054959.11700000000
Parking_11828-2	1077158.55000000000	1053066.58400000000
Parking_11843-1	1077124.39400000000	1053549.82300000000
Parking_11902	1072016.88400000000	1055224.82700000000
Parking_11904	1072875.43000000000	1054900.38700000000
Parking_11947-1	1073092.37800000000	1055330.89300000000
Parking_11947-2	1072835.45300000000	1055383.77400000000
Parking_11947-3	1072493.66300000000	1055517.14300000000
Parking_11968-2	1072397.67500000000	1055115.93500000000
Parking_11968-4	1072676.27500000000	1054989.88000000000
Parking_11969	1077138.42000000000	1051573.98000000000
Parking_12074	1079496.98800000000	1067070.33300000000
Parking_12076	1079605.48000000000	1066610.86400000000
Parking_12087	1073746.36500000000	1054312.53500000000
Parking_12118	1072077.68600000000	1052186.85300000000
Parking_12311	1078231.01300000000	1056955.33200000000
Parking_12448	1082694.53000000000	1049962.20000000000
Parking_12449	1083354.81200000000	1050128.00100000000
Parking_12450-2	1083806.09400000000	1050475.18600000000
Parking_12450-3	1083560.82000000000	1050599.34900000000
Parking_12450-4	1083644.82000000000	1050984.40700000000
Parking_12460-2	1082717.15200000000	1050468.55000000000
Parking_12460-3	1082316.59100000000	1050143.62000000000
Parking_12477	1083874.34200000000	1051385.89000000000
Parking_12526-2	1084519.82800000000	1051078.18200000000
Parking_12529-1	1084985.74200000000	1052864.96700000000
Parking_12529-2	1084951.78500000000	1051065.03200000000
Parking_12531	1085400.29200000000	1051430.08100000000
Parking_12533	1085338.20600000000	1052157.75500000000
Parking_12537-1	1085525.05900000000	1053449.66500000000
Parking_12537-2	1085319.88900000000	1052720.41100000000
Parking_12537-3	1086631.91800000000	1054828.45400000000
Parking_12539	1085054.69300000000	1052975.77700000000
Parking_12647	1077956.87200000000	1047244.36400000000
Parking_12749	1080068.86100000000	1058042.04100000000
Parking_12773-2	1082641.28600000000	1055220.29500000000
Parking_12775	1082297.62700000000	1054623.89500000000
Parking_12806	1083976.07600000000	1056023.19800000000
Parking_129	1061929.09600000000	1073519.89400000000
Parking_129-1	1061938.92900000000	1073213.04200000000
Parking_1293	1075117.20900000000	1072388.23000000000
Parking_12944	1080050.69700000000	1051552.25600000000
Parking_12977	1080732.20100000000	1053470.19300000000
Parking_12982	1080631.72200000000	1054379.84600000000
Parking_12987	1080869.17000000000	1054633.58300000000
Parking_13016	1079193.62700000000	1054349.37700000000
Parking_13058	1080658.81100000000	1058049.99000000000
Parking_13075	1081093.27100000000	1058287.03600000000
Parking_13076	1081210.13000000000	1058543.65000000000
Parking_131	1061463.56100000000	1073818.08600000000
Parking_131-1	1061690.68600000000	1073663.92400000000
Parking_13110	1081240.73700000000	1055176.70300000000
Parking_13128	1082895.81100000000	1055247.66400000000
Parking_13141	1081829.75400000000	1053135.74500000000
Parking_13142	1081684.96500000000	1052978.26800000000
Parking_13192	1080255.56300000000	1048764.38600000000
Parking_13218	1079970.86700000000	1053755.82800000000
