                0            1     2     3      4      5
0     1065965.474  1054110.322  17.0  53.0  186.0  124.0
1     1065815.622  1054780.112   0.0  53.0  186.0  124.0
2     1081971.698  1048185.464  34.0  30.0   91.0  296.0
3     1082217.867  1048327.046  34.0  30.0   91.0  296.0
4     1081995.698  1047669.583  34.0  30.0   91.0  296.0
5     1082851.319  1047352.801  34.0  30.0   91.0  296.0
6     1082430.211  1047244.191  34.0  30.0   91.0  296.0
7     1081343.784  1046669.420  34.0  30.0  118.0    7.0
8     1084003.458  1051041.965  28.0  42.0   19.0  242.0
9     1083276.624  1050832.402  28.0  42.0   19.0  104.0
10    1066264.723  1065477.481  23.0  15.0  190.0   87.0
11    1064657.279  1066664.790  23.0  41.0   21.0   67.0
12    1066038.966  1067001.991  23.0  41.0   21.0  226.0
13    1065713.396  1066834.772  23.0  41.0   21.0  226.0
14    1064459.462  1066910.010  23.0  41.0   21.0   67.0
15    1068758.245  1049228.912  33.0   9.0  115.0  128.0
16    1072094.678  1065127.306  49.0  69.0   93.0   62.0
17    1079736.703  1053409.041  25.0  66.0   10.0   14.0
18    1079781.276  1051186.215   7.0   1.0  101.0  283.0
19    1079881.068  1051248.705   7.0   1.0  101.0  283.0
20    1079850.335  1050985.605   7.0   1.0  101.0  283.0
21    1071711.646  1074126.435  19.0   2.0  126.0   98.0
22    1079333.748  1048292.071  38.0  49.0  162.0   84.0
23    1078793.990  1048039.845  38.0  49.0  162.0  136.0
24    1076928.596  1047367.839  38.0  49.0  123.0  165.0
25    1077444.716  1047246.492  38.0  49.0   45.0  165.0
26    1070051.122  1052593.239  31.0  70.0   61.0  237.0
27    1070096.143  1053015.208  31.0  22.0   61.0  130.0
28    1063613.872  1069799.057   4.0  47.0  184.0  178.0
29    1071276.585  1053186.716  31.0  22.0   61.0   30.0
30    1071087.321  1052984.903  31.0  22.0   61.0   30.0
31    1071416.138  1053128.241  31.0  22.0   61.0   30.0
32    1071490.921  1054532.088  31.0  22.0  139.0  243.0
33    1071449.218  1054198.256  31.0  22.0  139.0  243.0
34    1074429.301  1050093.759   3.0  34.0  133.0  155.0
35    1074522.157  1050906.940   3.0  34.0  133.0  155.0
36    1074218.291  1050426.935   3.0  34.0  133.0  155.0
37    1074132.256  1050773.737   3.0  34.0  133.0   92.0
38    1074706.938  1050311.941   3.0  34.0  133.0  155.0
39    1075373.219  1051566.130   3.0  83.0  196.0  251.0
40    1075156.921  1051998.242   3.0  59.0   27.0  251.0
41    1075296.014  1052313.317   3.0  59.0   27.0  251.0
42    1074089.857  1051214.305   3.0  59.0  133.0   92.0
43    1074422.112  1051179.463   3.0  59.0  133.0   92.0
44    1073479.190  1051620.165   3.0  59.0   46.0   92.0
45    1074094.683  1053859.783  42.0  59.0  114.0  116.0
46    1074676.790  1052313.385   3.0  59.0   27.0  251.0
47    1071951.122  1051458.214  31.0  51.0   46.0  173.0
48    1070668.555  1050822.997  33.0  51.0  147.0  152.0
49    1073930.377  1050309.670   3.0  34.0  133.0  155.0
50    1073638.018  1050745.167   3.0  34.0  133.0   92.0
51    1073419.371  1050946.514   3.0  59.0   46.0   92.0
52    1071819.436  1052246.397  31.0  22.0   46.0   30.0
53    1072111.310  1053724.722  31.0  22.0  114.0  243.0
54    1072008.347  1053012.511  31.0  22.0   61.0    2.0
55    1070975.979  1049722.588  33.0  51.0   74.0  214.0
56    1072521.842  1052215.831  31.0  59.0   46.0    2.0
57    1072867.808  1054084.516  31.0  76.0  114.0  169.0
58    1073235.998  1054301.521  31.0  76.0  114.0  169.0
59    1076107.208  1054959.117  42.0  12.0  146.0   25.0
60    1077158.550  1053066.584   7.0  21.0  150.0   77.0
61    1077124.394  1053549.823  42.0  21.0  150.0   77.0
62    1072016.884  1055224.827  14.0  76.0  139.0   70.0
63    1072875.430  1054900.387  31.0  76.0  139.0  169.0
64    1073092.378  1055330.893  42.0  76.0   35.0  169.0
65    1072835.453  1055383.774  14.0  76.0   35.0  169.0
66    1072493.663  1055517.143  14.0  76.0  139.0   70.0
67    1072397.675  1055115.935  14.0  76.0  139.0  169.0
68    1072676.275  1054989.880  31.0  76.0  139.0  169.0
69    1077138.420  1051573.980   7.0  83.0  196.0   41.0
70    1079496.988  1067070.333   2.0  29.0  113.0  127.0
71    1079605.480  1066610.864   2.0  29.0  113.0  127.0
72    1073746.365  1054312.535  42.0  76.0  114.0  169.0
73    1072077.686  1052186.853  31.0  51.0   46.0  173.0
74    1078231.013  1056955.332  10.0  67.0   24.0   72.0
75    1082694.530  1049962.200  28.0  42.0  170.0  104.0
76    1083354.812  1050128.001  28.0  42.0  170.0  104.0
77    1083806.094  1050475.186  28.0  42.0   19.0  104.0
78    1083560.820  1050599.349  28.0  42.0   19.0  104.0
79    1083644.820  1050984.407  28.0  42.0   19.0  242.0
80    1082717.152  1050468.550  28.0  42.0  170.0  104.0
81    1082316.591  1050143.620  28.0  42.0  170.0  104.0
82    1083874.342  1051385.890  28.0  42.0   19.0  242.0
83    1084519.828  1051078.182  28.0  42.0   19.0  242.0
84    1084985.742  1052864.967  28.0  90.0   84.0   36.0
85    1084951.785  1051065.032  28.0  42.0   19.0   36.0
86    1085400.292  1051430.081  28.0  90.0   84.0   36.0
87    1085338.206  1052157.755  28.0  90.0   84.0   36.0
88    1085525.059  1053449.665  20.0  90.0   84.0  157.0
89    1085319.889  1052720.411  28.0  90.0   84.0   36.0
90    1086631.918  1054828.454  20.0  96.0  117.0    0.0
91    1085054.693  1052975.777  28.0  90.0   84.0   36.0
92    1077956.872  1047244.364  38.0  49.0   45.0  245.0
93    1080068.861  1058042.041  10.0  32.0   85.0  139.0
94    1082641.286  1055220.295  29.0  24.0   75.0  108.0
95    1082297.627  1054623.895  29.0  24.0   75.0  108.0
96    1083976.076  1056023.198  29.0  56.0   75.0  145.0
